date|year|month|day|weekday|eng_name|eng_type|heb_name|heb_type|is_bank_holiday
2023-01-03|2023|1|3|Tuesday|Asarah B'Tevet (Tenth of Tevet)|Observance, Hebrew|צום עשרה בטבת|חגים דתיים|0
2023-01-27|2023|1|27|Friday|Holocaust Remembrance Day|International, business as usual|"יום הזכרון הבנ""ל לשואה"|ימים מוכרים בינלאומית|0
2023-02-06|2023|2|6|Monday|Tu Bishvat|Observance, Hebrew|"ט""ו בשבט"|חגים דתיים|0
2023-03-06|2023|3|6|Monday|Fast of Esther|Observance, Hebrew|תענית אסתר|חגים דתיים|0
2023-03-07|2023|3|7|Tuesday|Purim|Local Holiday|פורים|חגים דתיים|0
2023-03-08|2023|3|8|Wednesday|Shushan Purim (Jerusalem)|Local Holiday|שושן פורים|חגים דתיים|0
2023-04-05|2023|4|5|Wednesday|Passover Eve|Observance, Hebrew|ערב פסח|חגים דתיים|0
2023-04-06|2023|4|6|Thursday|Passover (Day 1)|National holiday, Hebrew|פסח|חגים דתיים|1
2023-04-07|2023|4|7|Friday|Passover (Day 2)|Observance, Hebrew|חול המועד פסח (1)|חגים דתיים|0
2023-04-08|2023|4|8|Saturday|Passover (Day 3)|Observance, Hebrew|חול המועד פסח (2)|חגים דתיים|0
2023-04-09|2023|4|9|Sunday|Passover (Day 4)|Observance, Hebrew|חול המועד פסח (3)|חגים דתיים|0
2023-04-10|2023|4|10|Monday|Passover (Day 5)|Observance, Hebrew|חול המועד פסח (4)|חגים דתיים|0
2023-04-11|2023|4|11|Tuesday|Passover (Day 6)|Observance, Hebrew|ערב פסח (חג שני)|חגים דתיים|0
2023-04-12|2023|4|12|Wednesday|Passover (Day 7)|National holiday, Hebrew|שביעי של פסח|חגים דתיים|1
2023-04-18|2023|4|18|Tuesday|Yom HaShoah|Observance, Hebrew|יום הזכרון לשואה ולגבורה|חגים חילוניים|0
2023-04-25|2023|4|25|Tuesday|Yom HaZikaron|Observance, Hebrew|"יום הזכרון לחללי צה""ל"|חגים חילוניים|0
2023-04-26|2023|4|26|Wednesday|Yom HaAtzmaut|National holiday, Hebrew|יום העצמאות|חגים חילוניים|1
2023-05-09|2023|5|9|Tuesday|Lag BaOmer|Observance, Hebrew|"ל""ג בעומר"|חגים דתיים|0
2023-05-19|2023|5|19|Friday|Jerusalem Day|Observance, Hebrew|יום ירושלים|חגים חילוניים|0
2023-05-25|2023|5|25|Thursday|Shavuot Eve|Observance, Hebrew|ערב שבועות|חגים דתיים|0
2023-05-26|2023|5|26|Friday|Shavuot|National holiday, Hebrew|שבועות|חגים דתיים|1
2023-07-06|2023|7|6|Thursday|17th of Tammuz|Observance, Hebrew|צום שבעה עשר בתמוז|חגים דתיים|0
2023-07-26|2023|7|26|Wednesday|Tisha B'Av Eve|Observance, Hebrew|ערב תשעה באב|חגים דתיים|0
2023-07-27|2023|7|27|Thursday|Tisha B'Av|Observance, Hebrew|תשעה באב|חגים דתיים|0
2023-09-15|2023|9|15|Friday|Rosh Hashana Eve|Observance, Hebrew|ערב ראש השנה|חגים דתיים|0
2023-09-16|2023|9|16|Saturday|Rosh Hashana|National holiday, Hebrew|ראש השנה א'|חגים דתיים|1
2023-09-17|2023|9|17|Sunday|Rosh Hashana (Day 2)|National holiday, Hebrew|ראש השנה ב'|חגים דתיים|1
2023-09-18|2023|9|18|Monday|Gedaliah Fast|Observance, Hebrew|צום גדליה|חגים דתיים|0
2023-09-24|2023|9|24|Sunday|Yom Kippur Eve|Observance, Hebrew|ערב יום כיפור|חגים דתיים|0
2023-09-25|2023|9|25|Monday|Yom Kippur|National holiday, Hebrew|יום כיפור|חגים דתיים|1
2023-09-29|2023|9|29|Friday|Sukkot Eve|Observance, Hebrew|ערב סוכות|חגים דתיים|0
2023-09-30|2023|9|30|Saturday|Sukkot (Day 1)|National holiday, Hebrew|סוכות|חגים דתיים|1
2023-10-01|2023|10|1|Sunday|Sukkot (Day 2)|Observance, Hebrew|חול המועד סוכות (1)|חגים דתיים|0
2023-10-02|2023|10|2|Monday|Sukkot (Day 3)|Observance, Hebrew|חול המועד סוכות (2)|חגים דתיים|0
2023-10-03|2023|10|3|Tuesday|Sukkot (Day 4)|Observance, Hebrew|חול המועד סוכות (3)|חגים דתיים|0
2023-10-04|2023|10|4|Wednesday|Sukkot (Day 5)|Observance, Hebrew|חול המועד סוכות (4)|חגים דתיים|0
2023-10-05|2023|10|5|Thursday|Sukkot (Day 6)|Observance, Hebrew|חול המועד סוכות (5)|חגים דתיים|0
2023-10-06|2023|10|6|Friday|Sukkot (Day 7) / Hoshanah Rabah|Observance, Hebrew|ערב שמחת תורה|חגים דתיים|0
2023-10-07|2023|10|7|Saturday|Shemini Atzeret / Simchat Torah|National holiday, Hebrew|שמחת תורה|חגים דתיים|1
2023-12-08|2023|12|8|Friday|Hanukkah (Day 1)|Observance, Hebrew|חנוכה (1)|חגים דתיים|0
2023-12-09|2023|12|9|Saturday|Hanukkah (Day 2)|Observance, Hebrew|חנוכה (2)|חגים דתיים|0
2023-12-10|2023|12|10|Sunday|Hanukkah (Day 3)|Observance, Hebrew|חנוכה (3)|חגים דתיים|0
2023-12-11|2023|12|11|Monday|Hanukkah (Day 4)|Observance, Hebrew|חנוכה (4)|חגים דתיים|0
2023-12-12|2023|12|12|Tuesday|Hanukkah (Day 5)|Observance, Hebrew|חנוכה (5)|חגים דתיים|0
2023-12-13|2023|12|13|Wednesday|Hanukkah (Day 6) / Rosh Chodesh Tevet|Observance, Hebrew|חנוכה (6)|חגים דתיים|0
